emb_context_sec,chunk_ms,hop_ms,emb_update_interval_sec,SI_SDR,Mix_SI_SDR,SI_SDRi,num_examples
5,2000,1000,2,1.2498006410896778,-1.6327605304308235,2.8825611715205013,40
5,2000,1000,5,0.669266907684505,-1.6653643289580942,2.334631236642599,40
5,2000,1000,10,0.43617965237936007,-1.9476237777620553,2.3838034301414153,40
5,5000,2500,2,7.01478786249645,-1.8482875948306172,8.863075457327067,40
5,5000,2500,5,7.143328113108874,-1.5190604850649834,8.662388598173857,40
5,5000,2500,10,6.663004187331535,-1.7461294068023563,8.409133594133891,40
5,10000,5000,2,11.373121167346834,-1.3788259167224168,12.75194708406925,40
5,10000,5000,5,10.614993633329869,-1.5106213275343179,12.125614960864187,40
5,10000,5000,10,8.872510757856071,-2.752047462761402,11.624558220617473,40
5,20000,10000,2,8.203141550719739,-2.0209435375873,10.224085088307039,40
5,20000,10000,5,6.940044739842415,-2.1429421184118835,9.082986858254298,40
5,20000,10000,10,7.209951356425881,-2.2135058127343656,9.423457169160248,40
10,2000,1000,2,0.8827355941524729,-1.9225670025683939,2.8053025967208667,40
10,2000,1000,5,1.2756800907664,-1.9119142588227986,3.1875943495891987,40
10,2000,1000,10,0.5408609868725762,-2.675754982419312,3.2166159692918885,40
10,5000,2500,2,6.806122378073633,-3.0063400469953194,9.812462425068952,40
10,5000,2500,5,7.812693520076573,-1.879001991287805,9.691695511364378,40
10,5000,2500,10,7.9042110100388525,-1.6325259026139975,9.53673691265285,40
10,10000,5000,2,11.30699219405651,-2.0032375898212194,13.31022978387773,40
10,10000,5000,5,9.50786916166544,-2.5763651674613355,12.084234329126776,40
10,10000,5000,10,11.007673048228025,-1.6374758675694465,12.64514891579747,40
10,20000,10000,2,8.965870610438287,-1.9462398782372474,10.912110488675534,40
10,20000,10000,5,10.763882462680339,-1.0023826347663998,11.76626509744674,40
10,20000,10000,10,9.727474424615503,-1.6498947641812265,11.37736918879673,40
20,2000,1000,2,0.2660025706049055,-2.475013718381524,2.7410162889864296,40
20,2000,1000,5,0.8503043375443667,-1.9772657331079244,2.8275700706522913,40
20,2000,1000,10,0.6014633099082858,-2.626355219632387,3.2278185295406727,40
20,5000,2500,2,7.24929060600698,-1.9056036297231913,9.154894235730172,40
20,5000,2500,5,6.854013665579259,-2.2105121094733478,9.064525775052607,40
20,5000,2500,10,7.560036870092153,-2.1782001895830034,9.738237059675157,40
20,10000,5000,2,10.28837096374482,-2.387124378606677,12.675495342351496,40
20,10000,5000,5,10.693519067019224,-2.327296597667737,13.02081566468696,40
20,10000,5000,10,11.176316839084029,-1.7277920357882977,12.904108874872326,40
20,20000,10000,2,10.241459545493125,-1.6369313705712556,11.878390916064381,40
20,20000,10000,5,9.41380047723651,-1.531673103198409,10.94547358043492,40
20,20000,10000,10,7.514522998966276,-2.8635679872706534,10.37809098623693,40
30,2000,1000,2,1.137951227510348,-1.7736778115853666,2.9116290390957147,40
30,2000,1000,5,0.8252310867421329,-2.049084912170656,2.874315998912789,40
30,2000,1000,10,0.8205136829055846,-2.433197395259049,3.2537110781646335,40
30,5000,2500,2,7.680869615450502,-1.6883010298013688,9.36917064525187,40
30,5000,2500,5,7.548625000566244,-2.060671791806817,9.609296792373062,40
30,5000,2500,10,7.306164815463125,-2.0479632705450057,9.354128086008132,40
30,10000,5000,2,11.0965353615582,-2.2177732652053237,13.314308626763523,40
30,10000,5000,5,10.342527426406741,-2.2599070977419613,12.602434524148702,40
30,10000,5000,10,10.847374656796456,-2.435810726089403,13.283185382885858,40
30,20000,10000,2,9.451385256648063,-1.8265040751546622,11.277889331802726,40
30,20000,10000,5,9.811972447484731,-1.929501248523593,11.741473696008324,40
30,20000,10000,10,8.480202579498291,-2.2743546817451716,10.754557261243463,40
