emb_context_sec,chunk_ms,hop_ms,emb_update_interval_sec,SI_SDR,Mix_SI_SDR,SI_SDRi,num_examples
5,2000,1000,2,0.2155604524537921,-2.535674772784114,2.751235225237906,40
5,2000,1000,5,0.2496370231732726,-2.047165422514081,2.2968024456873537,40
5,2000,1000,10,0.31568554043769836,-2.5797907184809445,2.895476258918643,40
5,5000,2500,2,2.9038135457783936,-1.9773747704108247,4.881188316189219,40
5,5000,2500,5,2.6993463757447897,-2.1979860667139293,4.897332442458719,40
5,5000,2500,10,2.4513456102227793,-1.9049650411121548,4.356310651334934,40
5,10000,5000,2,5.094788778293878,-2.0633060879539697,7.158094866247847,40
5,10000,5000,5,4.914071795344353,-2.1288017214043067,7.04287351674866,40
5,10000,5000,10,4.568159895576537,-1.7786385619081557,6.3467984574846925,40
5,20000,10000,2,3.0778219876578077,-1.5090402590110898,4.586862246668898,40
5,20000,10000,5,3.2379411386704304,-1.6644118138588966,4.902352952529327,40
5,20000,10000,10,3.0094034682493658,-1.6871631836518646,4.696566651901231,40
10,2000,1000,2,0.3646645242348313,-2.1411505651660265,2.505815089400858,40
10,2000,1000,5,0.7086206072010099,-1.5027665907517076,2.2113871979527175,40
10,2000,1000,10,1.1992227396927775,-1.3881594801321626,2.5873822198249403,40
10,5000,2500,2,2.787041379045695,-2.288560812175274,5.07560219122097,40
10,5000,2500,5,2.409651307645254,-2.5778993494808673,4.987550657126121,40
10,5000,2500,10,2.7351037975400687,-2.117830918729305,4.852934716269374,40
10,10000,5000,2,4.933862954378128,-2.4074189350008965,7.341281889379024,40
10,10000,5000,5,5.817205682699568,-1.8942721584811806,7.7114778411807485,40
10,10000,5000,10,6.277132513513789,-1.8618241731077432,8.138956686621531,40
10,20000,10000,2,2.9689914738759398,-1.7035023154690863,4.672493789345026,40
10,20000,10000,5,3.129278874024749,-1.8931956094689668,5.022474483493715,40
10,20000,10000,10,2.6794314674800264,-1.725118462741375,4.4045499302214015,40
20,2000,1000,2,0.5663719094125554,-2.561656650342047,3.1280285597546023,40
20,2000,1000,5,0.09005221427651122,-2.51406543944031,2.604117653716821,40
20,2000,1000,10,0.5952067623147741,-2.3241356397018533,2.9193424020166274,40
20,5000,2500,2,2.7837772530503573,-2.8009105707518756,5.584687823802232,40
20,5000,2500,5,3.1872442877851426,-1.978695764252916,5.165940052038058,40
20,5000,2500,10,3.588139174133539,-1.7117835983633996,5.299922772496939,40
20,10000,5000,2,5.320962542947382,-2.1029890963982325,7.423951639345614,40
20,10000,5000,5,6.141484216740355,-2.0579657740861874,8.199449990826542,40
20,10000,5000,10,5.182487462460995,-2.456279468536377,7.638766930997372,40
20,20000,10000,2,2.5647928204853088,-2.3731697922572494,4.937962612742558,40
20,20000,10000,5,3.173986653611064,-1.9260569915175438,5.100043645128608,40
20,20000,10000,10,2.8806278094649316,-2.536826417563134,5.417454227028065,40
30,2000,1000,2,0.19931159391999245,-2.311659698933363,2.5109712928533554,40
30,2000,1000,5,0.320730640925467,-2.7217272380832584,3.0424578790087256,40
30,2000,1000,10,-0.151218403870007,-2.8663473471067844,2.7151289432367776,40
30,5000,2500,2,3.3353726563975217,-2.1881285358220337,5.523501192219555,40
30,5000,2500,5,1.9942981771426276,-2.815050333365798,4.809348510508426,40
30,5000,2500,10,3.0262366308132185,-2.4714002816937866,5.497636912507005,40
30,10000,5000,2,5.10764462761581,-2.6436739756725727,7.751318603288382,40
30,10000,5000,5,6.489970772713423,-1.6986983820796013,8.188669154793024,40
30,10000,5000,10,6.419619572162628,-1.94465666487813,8.364276237040759,40
30,20000,10000,2,3.354536731541157,-1.88227685415186,5.236813585693017,40
30,20000,10000,5,3.360191721469164,-2.003528036782518,5.363719758251682,40
30,20000,10000,10,2.794806866440922,-1.9997483052313327,4.794555171672255,40
